Type,Group,viol_relig,relig,viol,Group area of operation,Year,"Text type (1=speech, 2=interview, 3=editorial/press release, 4=tweet, 5=other)",Speaker name,Status,Other notes,rawtext,WC,affiliation,achieve,power,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"Major actions become the subject of sermons in the mosque, glorifying the attack and the attackers.",16,0.00,0.00,18.75,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"Recruits were treated with great respect. a youngster who belonged to Hamas or Fatah was regarded more highly than one who didn’t belong to a group, and got better treatment than unaffiliated kids",33,9.09,3.03,3.03,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,Anyone who didn’t enlist during that period (intifada) would have been ostracized.,12,0.00,0.00,0.00,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"You Israelis are Nazis in your souls and in your conduct. In your occupation you never distinguish between men and women, or between old people and children. You adopted methods of collective punishment, you uprooted people from their homeland and from their homes and chased them into exile. You fired live ammunition at women and children. You smashed the skulls of defenseless civilians. You set up detention camps for thousands of people in subhuman conditions. You destroyed homes and turned children into orphans. You prevented people from making a living, you stole their property, you trampled on their honor. Given that kind of conduct, there is no choice but to strike at you without mercy in every possible way.",119,0.00,0.85,6.78,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"And the rank and file were ready to follow through fire and water. I was subordinate to just one person. my relations with him were good, as long as I agreed to all that was asked of me. It was an organization with a very clear hierarchy, and it was clear to me that I was at the bottom or the ladder and that i had to do whatever I was told.",72,1.39,1.39,5.56,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,Commanders in the Hamas are commanders in every way. A commander’s orders are absolutely binding and must not be questioned in substance.,22,0.00,0.00,18.18,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"You have to understand that armed attacks are an integral part of the organization’s struggle against the Zionist occupier. There is no other way to redeem the land of Palestine and expel the occupier. Our goals can only be achieved through force, but force is the means, not the end. History shows that without force it will be impossible to achieve independence. Those who carry out the attacks are doing Allah’s work",72,1.39,5.56,8.33,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"The more an attack hurts the enemy, the more important it is. That is the measure. The mass killings, especially the martyrdom operations, were the biggest threat to the Israeli public and so most effort was devoted to these. The extent of the damage and the number of casualties are of primary importance.",53,0.00,3.77,7.55,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"This is not suicide. Suicide is selfish, it is weak, it is mentally disturbed. This is istishad (martyrdom or self sacrifice in the service of Allah.)",26,0.00,0.00,3.85,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"A martyrdom operation is the highest level of jihad, and highlights the depth of our faith. the bombers are holy fighters who carry out one of the more important articles of faith",32,3.12,0.00,6.25,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,It is attacks when a member gives his life that earn the most respect and elevate the bombers to the highest possible level of martyrdom.,25,4.00,4.00,12.00,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"I am not a murderer. A murderer is someone with a psychological problem; armed actions have a goal. even if civilians are killed, it is not because we like it or are bloodthirsty. It is a fact of life in a people’s struggle the group doesn’t do it because it wants to kill civilians, but because the jihad must go on.",61,3.28,1.64,1.64,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"I asked Halil what it was all about and he told me that he had been on the wanted list for a long time and did not want to get caught without realizing his dream of being a martyrdom operation bomber. He was completely calm and explained to the other two bombers, Yusuf and Beshar, how to detonate the bombs, exactly the way he had explained things to the bombers in the Mahane Yehuda attack. I remember that besides the tremendous respect I had for Halil and the fact that I was jealous of him, I also felt slighted that he had not asked me to be the third martyrdom operation bomber. I understood that my role in the movement had not come to an end and the fact that I was not on the wanted list and could operate relatively freely could be very advantageous to the movement in the future.",152,0.00,0.66,1.32,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"Personally I made do with a pistol. But I would like the organization to have arms that could wipe out a village or a neighborhood. Atomic and chemical weapons, and things like that, though, frighten me, and I would worry about their impact and consequences of using them. ",48,2.08,0.00,0.00,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,That is necessary to defeat the enemy and to liberate our lands and can inflict damage to the enemy.,19,5.26,5.26,5.26,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"As for the question of weapons of mass destruction or nonconventional weapons, the question never arose. All I wanted was a pistol. But we did discuss the subject once. Islam wants to liberate, not kill. Under Islamic law, mass destruction is forbidden. For example, chemical, biological or atomic weapons damage the land and living things, including animals and plants, which are God’s creations. Poisoning wells or rivers is forbidden under Islam",71,1.41,1.41,11.27,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"When it came to moral considerations, we believed in the justice of our cause and in our leaders… I don’t recall ever being troubled by moral questions.",27,11.11,3.70,7.41,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"The organization had no red lines or moral constraints in actions against Jews. Any killing of a Jew was considered a success, and the more the better. The organization has no moral red lines. We must do everything to force the enemy to retreat from out lands. Nothing is illegitimate in achieving this.",53,1.89,5.66,1.89,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"As for the organization’s moral red lines, there were none. We considered every attack on the occupier legitimate. The more you hurt the enemy, the more he understands.",28,3.57,0.00,3.57,,,,,,,,,
Terrorist,Unknown,1,1,1,Middle East,n/a,2,n/a,Follower,,"In a Jihad, there are no red lines.",8,0.00,0.00,0.00,,,,,,,,,
Terrorist,Unknown,1,0,1,Middle East,n/a,2,n/a,Follower,,"As for weapons of mass destruction and unconventional weapons, as an underground organization, we never needed anything more than light automatic weapons and grenades.",24,4.17,0.00,4.17,,,,,,,,,
Terrorist,Al-Qaeda,1,1,1,Middle East,2010,2,Shaykh Abu Basir,Leader,Head of Al Qaeda in the Arabian Peninsula,"""All praise is due to All_h, the Lord of the Worlds. Jih_d is an obligation from All_h__ _____ . Young Muslims are brought up into it since the day the Messenger of All_h ___ ____ ____ ____ carried the sword until the last of this nation will fight against the False Messiah. Jih_d will continue throughout the generations of Muslims.The organization of al-Q_`idah is among these generations of Muslims who are carrying the responsibility of calling to Isl_m and defending the holy sites, the religion, honor and land since its foundation before three decades. Since 1990 when the Americans occupied the land of revelation, the youth of the Peninsula of Isl_m are defending their religion, their holy places and their land which their Messenger, peace be upon him, ordered to expel from it the disbelievers. They have executed a few operations against the Americans in and out of the Arabian Peninsula. The most famous are the Ulaya, al-Khobar, East Riyadh, USS Cole, Limburg, and the assassination of US soldiers in the island of Faylakah in Kuwait. The leaders of al-Q_`idah such as Shaykh al-Batt_r Y_suf al- `Uya_r_, `Abdul `Az_z al-Miqrin, and Shaykh Ab_ `Al_ al-__rith_ and others led this war against the Americans in and outside of the Arabian Peninsula. We are proud with this legacy not only as Muslims but as freemen too. The organization of AQAP, as our beloved leader Shaykh Us_mah said: “With America entering into con$ict with the sons of the land of the two holy places, it will forget the terrors of Vietnam. And, by the will of All_h, the upcoming victory in the land of _ij_z and Najd will make America forget the horrors of Vietnam and Beirut, by the permission of All_h, Glorified and Exalted be He.” Our objectives are driving out the occupiers from the Arabian Peninsula and purifying its land from them, establishing the law of shar_`ah, the establishment of khil_fah, spreading the call to the oneness of All_h __ _____ ,defending against the transgressors and helping the weak. All praise is due to All_h, the Lord of the Worlds, All_h __ _____ has blessed us with e""""ective operations against the transgressing Americans and we ask All_h to grant us more. The interest that is shown towards AQAP is because of the strategic importance of the Arabian Peninsula. This is the place of the revelation, the birthplace of Isl_m, the land of the two holy Mosques and the blood of the sa__ba runs through the veins of its sons. Because of the greed of the Americans, they have vital interests in the Arabian Peninsula. The passageways of commerce pass through its waters and oil is stolen from it. So this place is a vein of life for the Americans. Thus they are focused on it and they do not want any con$icts in this area or any group that would protect the wealth of the Muslims and their religion. They fear that their plots would be foiled and their dreams brought to an end. To answer your question on how serious the danger of AQAP is, I say that wherever there are muj_hid_n, there is danger awaiting the disbelievers. The muj_hid_n are one body and if one of them is somewhere you would find fear and terror spreading in that place. All of the branches of al-Q_`idah have succeeded in powerful operations against the Americans and the latest is the car bomb in New York. The di""""erent branches have good competition in fighting the Americans and their allies. All of them want to win the race of destroying the idol (i.e. , America) and to have the greatest share in that effort. All praise is due to All_h, the targeting of Mu_ammad bin Nayif was part of our e""""ort to purify the Arabian Peninsula from the traitors. He and his ilk are the ones who allowed the Americans to set base in the Peninsula of Isl_m, playing the role of Ab_ Ruq_l in its worst forms. He is an American in the clothes of an Arab. If it wasn’t for these traitors, the American airplanes wouldn’t have bombed Iraq and Afghanistan from the airports of Kharj and Riyadh and others, and if wasn’t for them, the Jews wouldn’t have remained in Palestine for more than sixty years. So this evil deformed person who is leading the war against the muj_hid_n, who is plotting against them day and night, and is implementing the American agenda, has led us to target him because of his actions. Some of the results of this blessed operation are that it turned the attention of the muj_hid_n to target the leaders of disbelief and the plotters of evil and that reaching them is not di&cult by the will of All_h. This operation broke the legend of the infallibility of their security measures and made it clear that the heroic muj_hid - by properly concealing his device, not having any metal parts in it and putting his trust in All_h __ _____ - can reach to his target without being exposed. All praise is due to All_h, the operation of `Umar al-F_r_q – may All_h hasten his release – is a strong blow to the con of the Because of the greed of the Americans, they have vital interests in the Arabian Peninsula. The passageways of commerce pass through its waters and oil is stolen from it. So this place is a vein of life for the Americans. American economy and is a slap in the face of the American security apparatus. He reached his destination and was able to break through all of the strict security barriers after passing through a few airports and was searched in them. But through the blessing of All_h __ _____ ,all security equipment failed to display his explosive device. The message we intended on sending to the Americans is: “America will never enjoy security until we live it in Palestine and it is not fair for you to enjoy life while our brothers in Gaza are going through a difficult life.” The fruits of the operation are many. Some of which: t Great loss to the US economy which reached $41 billion and all of their security measures have gone with the wind. The fear which has spread throughout airports and security institutions has revealed to the American people that its security institutions are not to be counted upon. Delivering fear to the American people and creating a balance in fear and that security is not something that the government of Obama can control. Opening the door for many Muslim youth in the West who want to seek revenge from the Crusader states that are fighting Isl_m. What we want from the West is one thing: To stop aggression and oppression against the Muslim Nation and to withdraw out of its land. This solution was given by all of our leaders and in more than one occasion. The truce was offered by the one who has real authority to take such a decision on behalf of the Muslims, Shaykh Us_mah bin L_din, may All_h preserve him. His o""""er was refused. Whenever we o""""er a sound plan, they escalate in their stubbornness so we are left with no option but to defend ourselves and fight the transgressors. If the West refrains from attacking us and oppressing our Nation, we will refrain from them. Otherwise we will have them drink from the same cup that they have the innocent from our Nation drink from. The American culture is that of killing other people. How many have the Americans killed from the Vietnamese, the Japanese, the Iraqi people, the Afghani people, and the Somali people, and how many have the Zionist allies killed from the sons of Palestine with the support of these bloodthirsty beasts? And finally they have killed tens from the tribe of B_k_zim, Ar_ab and al-`Aw_liq. They have killed women and children and lied by saying that these were preemptive strikes against al-Q_`idah in order to justify to their people that they have killed the leaders of al-Q_`idah. The Yemeni government jumped not to defend its sovereignty and its innocent people but to condemn the oppressed and justify for the Americans their crimes. They marketed the American bombing as a bombing performed by their air force against al-Q_`idah when they knew that the casualties were Bedouins. But it seems as if the Yemeni government has settled some previous scores while the women and children pay the price at the hand of the Americans. And what are these accurate operations that have killed tens of children and women? If the pilot was ignorant of military matters he would still be able to tell the di""""erence between tents of bedouins and military sites, but it is American hate and lust for killing others. These bombings will not deliver anything to the Americans and will not weaken the organization by the blessings of All_h. Instead they will only advance us further and push the Muslim people to stand with us. These reckless acts of the Americans will only reveal to the Muslim people the reality of the democracy of murder and destruction. The president of Yemen is a professional liar, especially when it comes to lying in order to extort money. Such lies bring in dollars from the Americans. They are gullible and he is creating for them fake victories. As the caller to Isl_m, Shaykh Anwar al-`Awlak_, may All_h preserve him, said: “The distinctive mark of the Yemeni government is lying. They are lying to their people. They are lying to the outside world. They are lying to everyone.” They have been lying for thirty years. They lie against their people in an exposed fashion and this proves to us their inability to defend themselves let alone others and that the matter is out of their hands now. Thus, they have nothing else to do but lie and claim that we have killed so-and-so and imprisoned so-and-so. This is all in order that foreign assistance keeps flowing in. All praise is due to All_h. America is the one forcing us to target it. These heinous crimes which the human soul rejects such as the cartoons of the Messenger ___ ____ ____ ____ and holding celebrations and awarding those who curse the Prophet ___ ____ ____ ____ require us to target the Americans. In fact they require us to wipe them out of the map completely. America is a cancer that needs to be removed along with the West that is supporting this criminal behavior and are banning the niq_b of the chaste and pure Muslim women. Thus, we insist on fighting against this oppression and aggression. The issue now is not fighting for peoples’ lives, land or wealth as the obligation has become greater than that. The issue now is the defense of the Prophets and supporting them against these obscene people. For them there is no way out from the punishment of All_h because All_h __ _____ will protect His Messengers. All_h __ _____ protects the believers so wouldn’t he protect His Prophets who are the most beloved to Him and are the chosen ones of His creation? All_h __ _____ will give us victory against them and what America awaits in the coming days is greater and worse than what has passed by the will of All_h: All_h __ _____ says: (Say: “Do you await for us except one of the two best things [i.e., martyrdom or victory] while we await for you that All_h will a(ict you with punishment from Himself or at our hands? So wait; indeed we, along with you, are waiting). My advice to my Muslim brothers in the West is to acquire weapons and learn methods of war. They are living in a place where they can cause great harm to the enemy and where they can support the Messenger of All_h ___ ____ ____ ____ There is no meaning in life if the Messenger of All_h ___ ____ ____ ____ is cursed while they listen to and see such crimes being committed in front of their eyes. It is not enough to defend him, may my father and mother be sacrificed for him, to participate in demonstrations and protests because these methods would not stop the West which is already used to them. The successful means are through explosive devices and sacrificing souls. That is a more pronounced and successful way of defending him and this is a practice started by the __lib_n of Pakistan, Ni__l _assan, and `Umar al-F_r_q, may All_h release them and on this path are men who are coming to you by the will of All_h. O Muslims rise up in defense of your Messenger ___ ____ ____ ____ :a man with his knife, a man with his gun, a man with his rifle, a man with his bomb, by learning how to design explosive devices, by burning down forests and buildings, or by running over them with your cars and trucks. The means of harming them are many so seek assistance from All_h __ _____ and do not be weak and you will find a way. The rights of the Messenger of All_h ___ ____ ____ ____ upon us are great and it is nothing for all of us to die for his sake; may our mothers be bereaved of us if we do not defend him ___ ____ ____ ____. O Muslims you have no excuse in front of All_h except if you fight in defense of his Messenger ___ ____ ____ ____ .If you cannot fight, then you should emigrate from the land where he is being cursed because such a land is awaiting the wrath of All_h. Especially that the Messenger of All_h ___ ____ ____ ____ discouraged living amongst the disbelievers so how about living at ease amongst them when the Messenger of All_h ___ ____ ____ ____ is being attacked and you do nothing to defend him or leave the land where he is being cursed? What will you answer your Lord on the Day of Judgment? If you fail to emigrate, then at least boycott the disbelievers and proclaim the oneness of All_h __ _____ ,Wal_’ and Bar_’ and pray to All_h __ _____ to make a way out for you. May All_h __ _____ grant us success in giving victory to His religion and His Messenger ___ ____ ____ ____. And all praises and thanks belong to All_h, the Lord of the Worlds.""",2420,2.12,1.88,3.10,,,,,,,,,
Terrorist,ISIS,1,1,1,Middle East,2014,1,Abu Muhammed al-Adnani,Leader,Spokesman for ISIS,"He is the imam and khalifah [caliph] for the Muslims everywhere,” ... “It is incumbent upon all Muslims to pledge allegiance to [him] and support him … The legality of all emirates, groups, states and organizations becomes null by the expansion of the khalifah’s authority and arrival of its troops to their areas",53,3.92,1.96,3.92,,,,,,,,,
Terrorist,ISIS,1,1,1,Middle East,2013,1,Jihadi John,Leader,Spokesman for ISIS,"I’m back, Obama, and I’m back because of your arrogant foreign policy toward the Islamic State because of your insistence in continuing your bombings in Muhassan, Albuomar and the Mosul Dam despite our serious warnings. You, Obama, have yet to gain for your actions through yet another American Citizen for just as your missiles continue to strike our people, our knife will continue to strike the necks of your people ""The blood of David Haines was on your hands David Cameron. Alan Henning will also be slaughtered but his blood is on the hands of the British parliament.""  ""Obama you have started your aerial bombardment in Sham (Syria), which keeps on striking our people, so it is only right we keep on striking the necks of your people""
",128,3.91,0.78,1.56,,,,,,,,,
